"id","amascat","stat","value"
633,"lo","bis_cogcomplex",2.8
634,"hi","bis_cogcomplex",2.6
635,"lo","bis_cogcomplex",2.4
636,"hi","bis_cogcomplex",2.2
637,"hi","bis_cogcomplex",2.4
638,"lo","bis_cogcomplex",2.4
640,"lo","bis_cogcomplex",2.4
641,"lo","bis_cogcomplex",2.2
642,"hi","bis_cogcomplex",2.8
643,"lo","bis_cogcomplex",2
644,"hi","bis_cogcomplex",1.4
645,"lo","bis_cogcomplex",3.2
646,"lo","bis_cogcomplex",2.2
647,"hi","bis_cogcomplex",1.2
648,"hi","bis_cogcomplex",2
649,"hi","bis_cogcomplex",2.6
650,"lo","bis_cogcomplex",2
651,"lo","bis_cogcomplex",1.4
652,"hi","bis_cogcomplex",2.2
653,"lo","bis_cogcomplex",2.2
654,"lo","bis_cogcomplex",2
655,"lo","bis_cogcomplex",1.8
602,"hi","bis_ATT",1.75
603,"hi","bis_ATT",2.75
604,"hi","bis_ATT",2.625
605,"lo","bis_ATT",1.875
606,"lo","bis_ATT",2.125
607,"hi","bis_ATT",2
608,"hi","bis_ATT",1.75
609,"hi","bis_ATT",2.625
610,"lo","bis_ATT",2.125
611,"lo","bis_ATT",1.625
612,"lo","bis_ATT",1.875
613,"lo","bis_ATT",2.25
614,"lo","bis_ATT",1.875
615,"lo","bis_ATT",3
616,"lo","bis_ATT",2.25
617,"hi","bis_ATT",2.125
618,"lo","bis_ATT",1.375
619,"lo","bis_ATT",2.875
620,"hi","bis_ATT",2.25
621,"lo","bis_ATT",1.625
622,"hi","bis_ATT",2.625
625,"lo","bis_ATT",1.875
626,"hi","bis_ATT",2.25
627,"hi","bis_ATT",1.625
628,"hi","bis_ATT",1.5
629,"hi","bis_ATT",2
630,"hi","bis_ATT",2.375
631,"hi","bis_ATT",2.5
632,"hi","bis_ATT",1.75
633,"lo","bis_ATT",1.75
634,"hi","bis_ATT",2.75
635,"lo","bis_ATT",2.75
636,"hi","bis_ATT",2.5
637,"hi","bis_ATT",2.375
638,"lo","bis_ATT",2.375
640,"lo","bis_ATT",2.125
641,"lo","bis_ATT",2.125
642,"hi","bis_ATT",2.125
643,"lo","bis_ATT",1.5
644,"hi","bis_ATT",1.25
645,"lo","bis_ATT",1.75
646,"lo","bis_ATT",1.75
647,"hi","bis_ATT",2.25
648,"hi","bis_ATT",1.5
649,"hi","bis_ATT",2.125
650,"lo","bis_ATT",1.5
651,"lo","bis_ATT",1.5
