"id","amascat","biscat","amas_learn","amas_eval","amas","bis_ATT","bis_MTR","bis_NPL","bis","mathtask","value","difficulty","subject","stat"
653,"lo","hi",1,1.25,1.11111111111111,2.875,2.27272727272727,2.54545454545455,2.53333333333333,"hardmathtime",3968.6125,"hard","math","time"
654,"lo","hi",1,2.75,1.77777777777778,2.375,2.09090909090909,2.36363636363636,2.26666666666667,"hardmathtime",4975.0125,"hard","math","time"
655,"lo","lo",1,2.5,1.66666666666667,2,1.54545454545455,1.54545454545455,1.66666666666667,"hardmathtime",4033.8125,"hard","math","time"
602,"hi","lo",2.4,3.75,3,1.75,1.54545454545455,1.54545454545455,1.6,"easyverbaltime",2350.8,"easy","verbal","time"
603,"hi","hi",3,3,3,2.75,2.45454545454545,2.27272727272727,2.46666666666667,"easyverbaltime",1771.3875,"easy","verbal","time"
604,"hi","hi",2,3.5,2.66666666666667,2.625,1.72727272727273,2.18181818181818,2.13333333333333,"easyverbaltime",2820.7625,"easy","verbal","time"
605,"lo","lo",1,2.5,1.66666666666667,1.875,1.54545454545455,2.27272727272727,1.9,"easyverbaltime",2400.8,"easy","verbal","time"
606,"lo","hi",1.6,2.25,1.88888888888889,2.125,1.90909090909091,2.45454545454545,2.16666666666667,"easyverbaltime",1793.3875,"easy","verbal","time"
607,"hi","lo",2.2,3.75,2.88888888888889,2,1.72727272727273,2.27272727272727,2,"easyverbaltime",2110.7,"easy","verbal","time"
608,"hi","lo",2.8,3.75,3.22222222222222,1.75,1.72727272727273,2.45454545454545,2,"easyverbaltime",2115.15,"easy","verbal","time"
609,"hi","hi",3.4,3.75,3.55555555555556,2.625,2.45454545454545,2.27272727272727,2.43333333333333,"easyverbaltime",2375.3875,"easy","verbal","time"
610,"lo","lo",1,2.5,1.66666666666667,2.125,1.27272727272727,2.09090909090909,1.8,"easyverbaltime",2296.6625,"easy","verbal","time"
611,"lo","lo",1.4,2.25,1.77777777777778,1.625,1.54545454545455,2,1.73333333333333,"easyverbaltime",2867.5,"easy","verbal","time"
612,"lo","lo",1,1.25,1.11111111111111,1.875,2,2.18181818181818,2.03333333333333,"easyverbaltime",1898.6625,"easy","verbal","time"
613,"lo","hi",1,1,1,2.25,2.09090909090909,2.72727272727273,2.36666666666667,"easyverbaltime",2228.1875,"easy","verbal","time"
614,"lo","lo",1,1.75,1.33333333333333,1.875,1.81818181818182,1.63636363636364,1.76666666666667,"easyverbaltime",1578.45,"easy","verbal","time"
615,"lo","hi",1.4,3,2.11111111111111,3,2.18181818181818,1.45454545454545,2.13333333333333,"easyverbaltime",2100.425,"easy","verbal","time"
616,"lo","lo",1,1.5,1.22222222222222,2.25,2,2.09090909090909,2.1,"easyverbaltime",1825.2125,"easy","verbal","time"
617,"hi","lo",3,5,3.88888888888889,2.125,1.72727272727273,1.90909090909091,1.9,"easyverbaltime",3673.375,"easy","verbal","time"
618,"lo","lo",1,2,1.44444444444444,1.375,1.63636363636364,2.09090909090909,1.73333333333333,"easyverbaltime",1568.2875,"easy","verbal","time"
619,"lo","hi",1.2,1,1.11111111111111,2.875,1.90909090909091,2.45454545454545,2.36666666666667,"easyverbaltime",1968.575,"easy","verbal","time"
620,"hi","lo",4.8,4.75,4.77777777777778,2.25,1.45454545454545,2.18181818181818,1.93333333333333,"easyverbaltime",2225.6625,"easy","verbal","time"
621,"lo","hi",1,3,1.88888888888889,1.625,2.36363636363636,2.72727272727273,2.3,"easyverbaltime",1746.2375,"easy","verbal","time"
622,"hi","hi",2.4,4.25,3.22222222222222,2.625,2.36363636363636,2.45454545454545,2.46666666666667,"easyverbaltime",1480.6875,"easy","verbal","time"
625,"lo","lo",1,3.25,2,1.875,1.54545454545455,2.36363636363636,1.93333333333333,"easyverbaltime",2944.6625,"easy","verbal","time"
626,"hi","hi",2.8,3,2.88888888888889,2.25,2.09090909090909,2.72727272727273,2.36666666666667,"easyverbaltime",2645.65,"easy","verbal","time"
627,"hi","lo",2.2,4.25,3.11111111111111,1.625,1.45454545454545,2,1.7,"easyverbaltime",2368.275,"easy","verbal","time"
628,"hi","lo",1.6,3.25,2.33333333333333,1.5,1.90909090909091,2.18181818181818,1.9,"easyverbaltime",1743.6625,"easy","verbal","time"
629,"hi","hi",2.8,3,2.88888888888889,2,2.18181818181818,2.81818181818182,2.36666666666667,"easyverbaltime",2011.525,"easy","verbal","time"
630,"hi","hi",3.6,4.5,4,2.375,2,2.45454545454545,2.26666666666667,"easyverbaltime",2602.3875,"easy","verbal","time"
631,"hi","hi",3.4,4,3.66666666666667,2.5,2.36363636363636,2.81818181818182,2.56666666666667,"easyverbaltime",1875.3125,"easy","verbal","time"
632,"hi","lo",3,3,3,1.75,1.27272727272727,3.18181818181818,2.1,"easyverbaltime",3230.35,"easy","verbal","time"
633,"lo","hi",1,1.25,1.11111111111111,1.75,1.54545454545455,3,2.13333333333333,"easyverbaltime",2328.2125,"easy","verbal","time"
634,"hi","hi",2.8,3.25,3,2.75,2.27272727272727,2.72727272727273,2.56666666666667,"easyverbaltime",1790.15,"easy","verbal","time"
635,"lo","hi",1,1,1,2.75,2.90909090909091,2.27272727272727,2.63333333333333,"easyverbaltime",2033,"easy","verbal","time"
636,"hi","hi",3.2,4,3.55555555555556,2.5,2.09090909090909,2,2.16666666666667,"easyverbaltime",1775.675,"easy","verbal","time"
637,"hi","lo",2.4,4.25,3.22222222222222,2.375,1.54545454545455,1.90909090909091,1.9,"easyverbaltime",2483.6125,"easy","verbal","time"
638,"lo","hi",1.2,2.25,1.66666666666667,2.375,2.18181818181818,2.18181818181818,2.23333333333333,"easyverbaltime",1619.625,"easy","verbal","time"
640,"lo","lo",1,3.5,2.11111111111111,2.125,1.63636363636364,2.36363636363636,2.03333333333333,"easyverbaltime",1931.2,"easy","verbal","time"
641,"lo","lo",1.6,2.25,1.88888888888889,2.125,2.09090909090909,2.09090909090909,2.1,"easyverbaltime",1853.675,"easy","verbal","time"
642,"hi","hi",1.8,3.75,2.66666666666667,2.125,2,2.54545454545455,2.23333333333333,"easyverbaltime",2458.325,"easy","verbal","time"
643,"lo","lo",1,2.5,1.66666666666667,1.5,1.72727272727273,1.81818181818182,1.7,"easyverbaltime",2476.775,"easy","verbal","time"
644,"hi","lo",2.6,4.5,3.44444444444444,1.25,1.36363636363636,1.45454545454545,1.36666666666667,"easyverbaltime",2848.6875,"easy","verbal","time"
